Loại dữ liệu,Dấu thời gian,1. Giới tính,2. Độ tuổi,3. Nghề nghiệp,4. Nơi cư trú,5. Tần suất đến các điểm du lịch nông nghiệp tại xã Củ Chi,6. Vai trò của Quý vị trong hoạt động du lịch nông nghiệp tại Củ Chi,7. Thời gian gần nhất Quý vị tham gia trải nghiệm du lịch nông nghiệp tại xã Củ Chi,Đánh giá về Quản lý và Tiêu chí Xanh [8. Các điểm du lịch nông nghiệp tại xã Củ Chi có kế hoạch quản lý môi trường và an toàn rõ ràng.],Đánh giá về Quản lý và Tiêu chí Xanh [9. Tỷ lệ chủ hộ và nhân viên được đào tạo kỹ năng du lịch xanh còn thấp.],Đánh giá về Quản lý và Tiêu chí Xanh [10. Có bộ quy tắc ứng xử cho du khách được áp dụng khá tốt tại các điểm du lịch.],Đánh giá về Quản lý và Tiêu chí Xanh [11. Công tác giám sát và đánh giá tiêu chí du lịch xanh tại xã Củ Chi còn yếu và thiếu hệ thống. (Câu ngược)],Đánh giá về Kinh tế và Trải nghiệm của Khách [12. Du lịch nông nghiệp xanh góp phần tăng thu nhập đáng kể cho người dân và hộ kinh doanh địa phương.],Đánh giá về Kinh tế và Trải nghiệm của Khách [13. Hoạt động du lịch tạo thêm việc làm toàn thời gian và bán thời gian cho cộng đồng.],Đánh giá về Kinh tế và Trải nghiệm của Khách [14. Tỷ lệ sản phẩm OCOP được tiêu thụ qua kênh du lịch nông nghiệp còn thấp.],Đánh giá về Kinh tế và Trải nghiệm của Khách [15. Lợi ích từ du lịch nông nghiệp được phân phối khá công bằng giữa các hộ tham gia.],"Đánh giá về Kinh tế và Trải nghiệm của Khách [16. Du khách hài lòng với giá trị trải nghiệm (chất lượng dịch vụ, giá cả, tính chân thực) tại các điểm du lịch nông nghiệp xanh.]",Đánh giá về Văn hóa - Xã hội và Cộng đồng [17. Cộng đồng địa phương được tham gia khá tốt vào việc quản lý và ra quyết định phát triển du lịch nông nghiệp.],"Đánh giá về Văn hóa - Xã hội và Cộng đồng [18. Du lịch nông nghiệp góp phần bảo tồn và phát huy bản sắc văn hóa, làng nghề truyền thống của xã Củ Chi.]",Đánh giá về Văn hóa - Xã hội và Cộng đồng [19. Việc kết hợp di sản lịch sử Địa đạo Củ Chi với trải nghiệm nông nghiệp xanh tạo được điểm nhấn riêng biệt.],Đánh giá về Văn hóa - Xã hội và Cộng đồng [20. Sự phát triển du lịch nông nghiệp chưa gây tác động tiêu cực đáng kể đến đời sống và không gian cộng đồng địa phương. (Câu ngược)],Đánh giá về Môi trường và Hệ sinh thái [21. Các điểm du lịch nông nghiệp kiểm soát tốt rác thải nhựa và chất thải từ du khách.],Đánh giá về Môi trường và Hệ sinh thái [22. Hệ thống xử lý nước thải tại các điểm du lịch nông nghiệp còn thiếu và chưa hiệu quả.],Đánh giá về Môi trường và Hệ sinh thái [23. Tỷ lệ diện tích canh tác chuyển sang hữu cơ hoặc VietGAP tại các hộ làm du lịch còn thấp.],Đánh giá về Môi trường và Hệ sinh thái [24. Du khách được giáo dục và nâng cao ý thức bảo vệ môi trường khi tham gia trải nghiệm.],Đánh giá về Môi trường và Hệ sinh thái [25. Hoạt động du lịch nông nghiệp góp phần bảo tồn đa dạng sinh học và cảnh quan nông thôn.],Đánh giá Nguyên nhân hạn chế [26. Quy hoạch du lịch nông nghiệp xanh cấp xã chưa cụ thể và thiếu định hướng rõ ràng.],Đánh giá Nguyên nhân hạn chế [27. Nguồn vốn đầu tư hạ tầng xanh và cơ chế hợp tác công-tư (PPP) còn hạn chế.],"Đánh giá Nguyên nhân hạn chế [28. Năng lực quản lý và kỹ năng du lịch xanh của người dân, hộ kinh doanh còn yếu.]",Đánh giá Nguyên nhân hạn chế [29. Nhận thức của cộng đồng về lợi ích dài hạn của du lịch nông nghiệp xanh còn thấp.],Đánh giá Nguyên nhân hạn chế [30. Liên kết chuỗi giá trị giữa nông dân – doanh nghiệp lữ hành – chính quyền còn lỏng lẻo.],"Đánh giá Nguyên nhân hạn chế [31. Chưa có hệ thống giám sát định kỳ và chứng nhận tiêu chuẩn du lịch xanh (GSTC, OCOP) hiệu quả.]",Đánh giá các Giải pháp đề xuất [32. Cần triển khai mô hình “Zero Waste Village – Làng Du lịch Nông nghiệp Xanh Củ Chi” tại các điểm có lượng khách cao.],Đánh giá các Giải pháp đề xuất [33. Nên phát triển các tuyến tour tích hợp “Du lịch Xanh – Lịch sử Củ Chi” kết hợp Địa đạo với trải nghiệm nông nghiệp xanh và công nghệ AR/VR.],"Đánh giá các Giải pháp đề xuất [34. Cần xây dựng nền tảng số “Củ Chi Green Agri Hub” để kết nối nông dân, du khách và công ty lữ hành.]",Đánh giá các Giải pháp đề xuất [35. Nên tổ chức chương trình đào tạo “Nông dân – Hướng dẫn viên Xanh Củ Chi” quy mô lớn cho cộng đồng.],Đánh giá các Giải pháp đề xuất [36. Cần xây dựng bộ tiêu chí chứng nhận “Hộ du lịch nông nghiệp xanh Củ Chi” (5 sao) để tạo động lực cho các hộ.],Đánh giá các Giải pháp đề xuất [37. Cần đẩy mạnh chiến dịch truyền thông cộng đồng “Củ Chi Xanh – Nơi Mọi Người Cùng Sống Xanh”.],Đánh giá các Giải pháp đề xuất [38. Cần thành lập Ban Quản lý Du lịch Nông nghiệp Xanh xã Củ Chi với sự tham gia của cộng đồng và doanh nghiệp.],"39. Theo Quý vị, điểm mạnh nổi bật nhất của du lịch nông nghiệp xanh tại xã Củ Chi hiện nay là gì?",40. Quý vị có giải pháp hoặc ý kiến nào khác để phát triển du lịch nông nghiệp theo hướng du lịch xanh bền vững tại đây không?
Real,2026-07-03 20:08:47,Nữ,26–35,Kinh doanh/Tự do,Tỉnh/thành khác,3–5 lần/năm,Du khách,6–12 tháng qua,4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),P cần tạo thêm cơ hội để người dân địa phương tham gia cung cấp dịch vụ qua đón nâng cao thu nhập cho cộng đồng và phát triển du lịch lâu dài và bền vững,Du khách đến thăm lại trực tiếp các hoạt động nông nghiệp sạch trong không gian xanh của thiên nhiên và thư giãn nhân tạo ý thức bảo vệ môi trường và phát triển bền vững
Real,2026-07-03 20:11:38,Nữ,36–45,Kinh doanh/Tự do,Tỉnh/thành khác,3–5 lần/năm,Du khách,6–12 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),3 (Bình thường),3 (Bình thường),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),Điểm mạnh của củ Chi là sự kết hợp hài hòa giữa trải nghiệm thực tế với nông nghiệp sạch và giáo dục với phát triển bền vững,Theo tôi điểm mạnh nhất là mang đến trải nghiệm đi học đi đôi với làm luôn thấy được trực tiếp tham gia các hoạt động
Real,2026-07-03 20:12:55,Nữ,Trên 60,Nông dân,Tỉnh/thành khác,3–5 lần/năm,"Hộ kinh doanh du lịch nông nghiệp (vườn trái cây, homestay…)",Trong 6 tháng qua,4 (Đồng ý),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),4 (Đồng ý),2 (Không đồng ý),4 (Đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),2 (Không đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),Tiềm năng du lịch ,Ok
Real,2026-07-03 20:16:57,Nữ,36–45,Kinh doanh/Tự do,Tỉnh/thành khác,1–2 lần/năm,Du khách,6–12 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),Môi trường trong lành nhiều mô hình nông nghiệp xanh,Nâng cao chất lượng dịch vụ và bảo vệ môi trường phát triển du lịch nông nghiệp xanh bền vững
Real,2026-07-03 20:20:24,Nữ,36–45,Kinh doanh/Tự do,Tỉnh/thành khác,1–2 lần/năm,Du khách,Trong 6 tháng qua,4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),3 (Bình thường),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),Không gian xanh nông nghiệp sạch nhiều trải nghiệm thực tế và gần thành phố Hồ Chí Minh,Đẩy mạnh quảng bá và đầu tư Hạ tầng đa dạng trải nghiệm và bảo vệ môi trường
Real,2026-07-03 20:22:30,Nữ,26–35,Kinh doanh/Tự do,Tỉnh/thành khác,Lần đầu,Du khách,Trong 6 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),Môi trường xanh sạch đẹp,Môi trường trong lành
Real,2026-07-03 20:23:50,Nam,26–35,Kinh doanh/Tự do,Tỉnh/thành khác,1–2 lần/năm,Du khách,Trong 6 tháng qua,4 (Đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),"Thoải mái , không khí trong lành",Không có 
Real,2026-07-03 20:27:51,Nam,18–25,Nhân viên văn phòng,TP. Hồ Chí Minh (quận trung tâm),Lần đầu,Du khách,Trong 6 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không ,không
Real,2026-07-03 20:29:20,Nam,Dưới 18,Học sinh/Sinh viên,TP. Hồ Chí Minh (quận trung tâm),Lần đầu,Du khách,Hơn 1 năm,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không ,không
Real,2026-07-03 20:30:44,Nam,18–25,Học sinh/Sinh viên,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,6–12 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không ,không 
Real,2026-07-03 20:31:51,Nữ,18–25,Kinh doanh/Tự do,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không,không 
Real,2026-07-03 20:32:48,Nam,Dưới 18,Học sinh/Sinh viên,TP. Hồ Chí Minh (quận trung tâm),Lần đầu,Du khách,Hơn 1 năm,3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),không ,không 
Real,2026-07-03 20:34:08,Khác,26–35,Kinh doanh/Tự do,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,2 (Không đồng ý),4 (Đồng ý),4 (Đồng ý),2 (Không đồng ý),3 (Bình thường),5 (Hoàn toàn đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),3 (Bình thường),5 (Hoàn toàn đồng ý),3 (Bình thường),3 (Bình thường),5 (Hoàn toàn đồng ý),3 (Bình thường),2 (Không đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),5 (Hoàn toàn đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),5 (Hoàn toàn đồng ý),không ,không 
Real,2026-07-03 20:37:40,Nam,18–25,Kinh doanh/Tự do,Tỉnh/thành khác,Lần đầu,Du khách,Trong 6 tháng qua,5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),Điểm mạnh  là nhiều mô hình kết hợp,Kết hợp thêm công nghệ
Real,2026-07-03 20:38:57,Nữ,18–25,Nhân viên văn phòng,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,6–12 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không ,"không
"
Real,2026-07-03 20:39:52,Khác,26–35,Nhân viên văn phòng,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),2 (Không đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),3 (Bình thường),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),không ,"không
"
Real,2026-07-03 20:40:48,Không muốn trả lời,46–60,Kinh doanh/Tự do,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),4 (Đồng ý),3 (Bình thường),4 (Đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),3 (Bình thường),3 (Bình thường),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),4 (Đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),không ,không
Real,2026-07-03 20:42:15,Nữ,36–45,Kinh doanh/Tự do,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),3 (Bình thường),không ,không
Real,2026-07-03 20:42:57,Nam,18–25,Khác,Tỉnh/thành khác,3–5 lần/năm,Du khách,Trong 6 tháng qua,2 (Không đồng ý),2 (Không đồng ý),3 (Bình thường),3 (Bình thường),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),2 (Không đồng ý),3 (Bình thường),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),1 (Hoàn toàn không đồng ý),1 (Hoàn toàn không đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),Đẹp,Dkhoong
Real,2026-07-03 20:43:25,Nữ,26–35,Kinh doanh/Tự do,TP. Hồ Chí Minh (quận trung tâm),1–2 lần/năm,Du khách,Hơn 1 năm,4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),không ,không
Real,2026-07-03 20:44:20,Nữ,26–35,Nhân viên văn phòng,TP. Hồ Chí Minh (quận trung tâm),Lần đầu,Du khách,Trong 6 tháng qua,5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),3 (Bình thường),4 (Đồng ý),4 (Đồng ý),4 (Đồng ý),3 (Bình thường),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),4 (Đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),5 (Hoàn toàn đồng ý),không ,không 
